id_herb,produto_comercial,empresa,ingrediente,link,registro,dose_(g/L)_(g/kg),equivalente_acido,Formulacao,culturas,bula,form_sigla,form_tipo,dose_gkg,dose_gL,ia_1,ia_2,ia_3,dose_gkg_ia_1
1,"2,4-D (240) + Picloram (64) SL",CCAB Agro S.A. – Sao Paulo,"picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-240----picloram-64--sl_10764.html,31918,103.6 + 406,64 + 240,concentrado solúvel (sl),pastagem,x,sl,líquido,NA,103.6 + 406,picloram ,"2,4-D ",,NA
1,"2,4-D (240) + Picloram (64) SL",CCAB Agro S.A. – Sao Paulo,"picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-240----picloram-64--sl_10764.html,31918,103.6 + 406,64 + 240,concentrado solúvel (sl),eucalipto,x,sl,líquido,NA,103.6 + 406,picloram ,"2,4-D ",,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),soja,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),milho,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),café,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),trigo,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),arroz,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),cana,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
2,"2,4-D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html,1215,806,670,concentrado solúvel (sl),pastagem,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
5,"2,4-D Agroimport",Agro Import do Brasil Ltda.,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-agroimport_10811.html,41418,806,670,concentrado solúvel (sl),soja,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
5,"2,4-D Agroimport",Agro Import do Brasil Ltda.,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-agroimport_10811.html,41418,806,670,concentrado solúvel (sl),milho,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
5,"2,4-D Agroimport",Agro Import do Brasil Ltda.,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-agroimport_10811.html,41418,806,670,concentrado solúvel (sl),café,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
5,"2,4-D Agroimport",Agro Import do Brasil Ltda.,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-agroimport_10811.html,41418,806,670,concentrado solúvel (sl),trigo,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
5,"2,4-D Agroimport",Agro Import do Brasil Ltda.,"2,4-D-dimetilamina (acido ariloxialcanoico)",https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-agroimport_10811.html,41418,806,670,concentrado solúvel (sl),arroz,x,sl,líquido,NA,806,"2,4-D-dimetilamina ",,,NA
