produto_comercial,empresa,ingrediente_2,ingrediente
"2,4_D (240) and Picloram (64) SL",CCAB Agro S.A. – Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
"2,4_D 806 RN",Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D 806 SL Alamos",Alamos do Brasil Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Agritec",Agritec Ind. Brasileira de Herbicidas Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Agroimport",Agro Import do Brasil Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Amina 840 SL",Albaugh Agro Brasil Ltda.- Sao Paulo,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Amina CCAB 806 SL",CCAB Agro S.A. – Sao Paulo,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D CROP 806 SL",Solus Industria Quimica Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Fersol",Ameribras Indústria e Comércio Ltda.,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Nortox",Nortox S.A. - Arapongas,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Nortox 970 WG",Nortox S.A. - Arapongas,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Super Amine SG",Rainbow Defensivos Agricolas Ltda.- Porto Alegre,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
"2,4_D Tecnomyl",Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Abone,Albaugh Agro Brasil Ltda.- Sao Paulo,diurom (ureia),diurom (ureia)
Accent,Du_Pont do Brasil S.A. - Barueri (Alphaville),nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Accurate,FMC Química do Brasil Ltda. - Campinas,metsulfurom-metilico (sulfonilurea),metsulfurom-metilico (sulfonilurea)
Acert,Adama Brasil S.A. - Londrina,propaquizafope (Acido ariloxifenoxipropionico),propaquizafope (acido ariloxifenoxipropionico)
Acillatem,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,lactofem (eteretilica),lactofem (eteretilica)
Aclamado BR,Ouro Fino Química S.A. - Uberaba,Atrazina (triazina),atrazina (triazina)
Actend,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,trifloxissulfurom-sodico (sulfonilurea),trifloxissulfurom-sodico (sulfonilurea)
Adifac,Basf S.A. – Sao Paulo,bentazona (benzotiadiazinona) and imazamoxi (imidazolinona),bentazona (benzotiadiazinona) and imazamoxi (imidazolinona)
Advance,Ouro Fino Química S.A. - Uberaba,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Afalon 450 SC,Adama Brasil S.A. - Londrina,linurom (ureia),linurom (ureia)
Afalon SC,Adama Brasil S.A. - Londrina,linurom (ureia),linurom (ureia)
Affinity 400 EC,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Affinity 400 WP,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Agile,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) and haloxifope-P-metilico (Acido ariloxifenoxipropionico),cletodim (oxima ciclohexanodiona) and haloxifope-p-metilico (acido ariloxifenoxipropionico)
Agritone,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,MCPA (acido ariloxialcanoico),mcpa (acido ariloxialcanoico)
Aim,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Alaclor and Atrazina SC Nortox,Nortox S.A. - Arapongas,Alacloro (cloroacetanilida) and Atrazina (triazina),alacloro (cloroacetanilida) and atrazina (triazina)
Alaclor Nortox,Nortox S.A. - Arapongas,Alacloro (cloroacetanilida),alacloro (cloroacetanilida)
Alia,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,sulfentrazona (triazolona),sulfentrazona (triazolona)
Alion,Bayer S.A. - Sao Paulo/ SP,indaziflam ( Alquilazina),indaziflam ( alquilazina)
