id_herb	produto_comercial	empresa	ingrediente	link	registro	dose_(g/L)_(g/kg)	equivalente_acido	Formulacao	soja	soja_dessecação	soja_omg	soja_spd	milho	milho_ogm	milho_spd	algodão_spd	algodão_ogm	algodão	sorgo	algodão_ogm	café_spd	café	trigo_spd	trigo	gramíneas_forrageiras	arroz	arroz_sequeiro	arroz_irrig_spd	arroz_irrigado	arroz_spd	feijão	aveia_preta	Feijão_spd	feijão_vagem	feijão_fava	feijão_guandu	feijão_mungo	feijão_caupi	grão_de_bico	azevém	aveia	lentilha	cana_spd	cana_soca	cana_maturação	Cana_dessecação	cana_roughing	cana	aveia_preta	mandioca	pastagem_spd	pastagem	vazio_sanitário	manejo_outonal	amendoim	centeio	cevada	canola	abacaxi	citros	citros_spd	melão	eucalipto_implantação_da_flores	Eucalipto_Rebrote	eucalipto	pinus_implantação_da_flores	pinus	seringueira	acácia_negra	estrelicia	girassol	quiabo	tomate	alho	banana	cebola	cenoura	batata_dessecação	batata	alface	repolho	jiló	pimenta	pimentão	brocolis	couve-flor	beterraba	batata-doce	berinjela	batata-salsa	fumo	morango	camomila	gengibre	batata_yacon	alfafa	salsa	coentro	braquiaria	aveia	milheto	inhame	ervilha	sorgo	caju	goiaba	manga	mangaba	pera	uva	maçã	ameixa	mamão	melancia	pessego	nectarina	dendê	duboisia	triticale	crisântemo	centeio	cacau	não_agrícola	seringueira	escarola	sisal	côco	momona	caqui	açaí	cará	nabo	mandioquinha-salsa	carambola	rabanete	figo	castanha_do_pará	macadâmia	pinhão	noz_pecã	pupunha	gladíolo	vagem	área_de_pousio	área_não_cultivada	abacate	gramados	espinafre	manejo_outonal	rosa	todas_as_culturas_com_ocorrência_do_alvo_biológico	tabaco	tratamento_do_solo
1	2,4-D (240) + Picloram (64) SL	CCAB Agro S.A. – Sao Paulo	picloram (acido piridinocarboxilico) + 2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-240----picloram-64--sl_10764.html	31918	103.6 + 406	64 + 240	Concentrado Solúvel (SL)																																												x													x																																																																																								
2	2,4-D 806 RN	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-rn_10050.html	1215	806	670	Concentrado Solúvel (SL)	x				x									x		x		x			x																			x				x																																																																																																					
3	2,4-D 806 SL Alamos	Alamos do Brasil Ltda.	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-806-sl-alamos_10111.html	6715	806	670	Concentrado Solúvel (SL)																																																																																																																																																	
4	2,4-D Agritec	Agritec Ind. Brasileira de Herbicidas Ltda.	2,4-D (acido ariloxialcanoico)	NA	2801	867		NA	x				x											x																								x									x																																																																																																
5	2,4-D Agroimport	Agro Import do Brasil Ltda.	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-agroimport_10811.html	41418	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x				x																																																																																																					
6	2,4-D Amina 840 SL	Albaugh Agro Brasil Ltda.- Sao Paulo	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-amina-840-sl_4776.html	5002	840	698	Concentrado Solúvel (SL)	x				x											x					x																			x				x																																																																																																					
7	2,4-D Amina CCAB 806 SL	CCAB Agro S.A. – Sao Paulo	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-amina-ccab-806-sl_10110.html	6615	806	670	Concentrado Solúvel (SL)	x				x											x		x			x																			x																																																					x																																																				
8	2,4-D CROP 806 SL	Solus Industria Quimica Ltda.	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-crop-806-sl_10292.html	21316	806	670	Concentrado Solúvel (SL)	x				x									x		x																								x				x																																																																																																					
9	2,4-D Fersol	Ameribras Indústria e Comércio Ltda.	2,4-D-dimetilamina (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-fersol_8948.html	128803	867	720	Concentrado Solúvel (SL)	x															x																								x				x																																																																																																					
10	2,4-D Nortox	Nortox S.A. - Arapongas	2,4-D (acido ariloxialcanoico)	https://www.agrolink.com.br/agrolinkfito/produto/2-4-d-nortox_8434.html	3009	806	670	Concentrado Solúvel (SL)	x				x									x		x		x																						x																																																			x	x				x																																																	
