Marca Comercial	Titular de Registro	Ingrediente Ativo(Grupo Químico)
2,4-D (240) + Picloram (64) SL	CCAB Agro S.A. – São Paulo	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
2,4-D 806 RN	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	2,4-D-dimetilamina (ácido ariloxialcanóico)
2,4-D 806 SL Alamos	Alamos do Brasil Ltda.	2,4-D-dimetilamina (ácido ariloxialcanóico)
2,4-D Agritec	Agritec Ind. Brasileira de Herbicidas Ltda.	2,4-D (ácido ariloxialcanóico)
2,4-D Agroimport	Agro Import do Brasil Ltda.	2,4-D-dimetilamina (ácido ariloxialcanóico)
2,4-D Amina 840 SL	Albaugh Agro Brasil Ltda.- São Paulo	Sal de Dimetilamina do Ácido 2,4-D (ácido ariloxialcanóico)
2,4-D Amina CCAB 806 SL	CCAB Agro S.A. – São Paulo	2,4-D (ácido ariloxialcanóico)
2,4-D CROP 806 SL	Solus Industria Quimica Ltda.	2,4-D (ácido ariloxialcanóico)
2,4-D Fersol	Ameribrás Indústria e Comércio Ltda.	2,4-D-dimetilamina (ácido ariloxialcanóico)
2,4-D Nortox	Nortox S.A. - Arapongas	2,4-D (ácido ariloxialcanóico)
2,4-D Nortox 970 WG	Nortox S.A. - Arapongas	2,4-D (ácido ariloxialcanóico)
2,4-D Super Amine SG	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	2,4-D (ácido ariloxialcanóico)
2,4-D Tecnomyl	Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu	2,4-D-dimetilamina (ácido ariloxialcanóico)
Abone	Albaugh Agro Brasil Ltda.- São Paulo	diurom (uréia)
Accent	Du Pont do Brasil S.A. - Barueri (Alphaville)	nicossulfurom (sulfoniluréia)
Accurate	FMC Química do Brasil Ltda. - Campinas	metsulfurom-metílico (sulfoniluréia)
Acert	Adama Brasil S.A. - Londrina	propaquizafope (ácido ariloxifenoxipropiônico)
Acillatem	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	lactofem (éter difenílico)
Aclamado BR	Ouro Fino Química S.A. - Uberaba	Atrazina (triazina)
Actend	Syngenta Proteção de Cultivos Ltda. – São Paulo	trifloxissulfurom-sódico (sulfoniluréia)
Adifac	Basf S.A. – São Paulo	bentazona (benzotiadiazinona) + imazamoxi (imidazolinona)
Advance	Ouro Fino Química S.A. - Uberaba	diurom (uréia) + hexazinona (triazinona)
Afalon 450 SC	Adama Brasil S.A. - Londrina	linurom (uréia)
Afalon SC	Adama Brasil S.A. - Londrina	linurom (uréia)
Affinity 400 EC	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etílica (triazolona)
Affinity 400 WP	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etílica (triazolona)
Agile	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona) + haloxifope-P-metílico (ácido ariloxifenoxipropiônico)
Agritone	Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú	MCPA (ácido ariloxialcanóico)
Aim	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etílica (triazolona)
Alaclor + Atrazina SC Nortox	Nortox S.A. - Arapongas	Alacloro (cloroacetanilida) + Atrazina (triazina)
Alaclor Nortox	Nortox S.A. - Arapongas	Alacloro (cloroacetanilida)
Alia	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	sulfentrazona (triazolona)
Alion	Bayer S.A. - São Paulo/ SP	indaziflam ( Alquilazina)
Alion Pro	Bayer S.A. - São Paulo/ SP	indaziflam ( Alquilazina) + metribuzim (triazinona)
Ally	FMC Química do Brasil Ltda. - Campinas	metsulfurom-metílico (sulfoniluréia)
Amaiz	Pilarquim Br Comercial Ltda.- São Paulo	nicossulfurom (sulfoniluréia)
Ameris	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	tebutiurom (uréia)
Ametrex 500 SC	Adama Brasil S.A. - Londrina	Ametrina (triazina)
Ametrex WG	Adama Brasil S.A. - Londrina	Ametrina (triazina)
Ametrina 500 SC Rainbow	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Ametrina (triazina)
Ametrina Alta 500 SC	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	Ametrina (triazina)
Ametrina Atanor 50 SC	Albaugh Agro Brasil Ltda.- São Paulo	Ametrina (triazina)
Aminol 806	Adama Brasil S.A. - Londrina	2,4-D-dimetilamina (ácido ariloxialcanóico)
Amplexus	Basf S.A. – São Paulo	imazapique (imidazolinona) + imazapir (imidazolinona)
Amplo	Basf S.A. – São Paulo	bentazona (benzotiadiazinona) + imazamoxi (imidazolinona)
Ancosar 720	Sipcam Nichino Brasil S.A. - Uberaba/MG	MSMA (organoarsênico)
Aramo 200	Basf S.A. – São Paulo	tepraloxidim (oxima ciclohexanodiona)
Arena	Stockton Agrimor do Brasil Ltda.	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
Arrange	Dow Agrosciences Industrial Ltda. - São Paulo	Glifosato Sal de Dimetilamina (glicina substituída) + 2,4-D Sal de Colina (ácido ariloxialcanóico)
Arreio	Adama Brasil S.A. - Londrina	Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Arreio Pasto	Adama Brasil S.A. - Londrina	Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Arrow	Nortox S.A. - Arapongas	trifluralina (dinitroanilina)
Artys	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
Artys BR	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico) + 2,4-D (ácido ariloxialcanóico)
Astral	Prentiss Química Ltda. - Campo Largo/PR	glifosato (glicina substituída)
Asulox 400	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Asulam (sulfanililcarbamato)
Atectra	Basf S.A. – São Paulo	Dicamba (Ácido Benzóico)
Atraer WG	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Atrazina (triazina)
Atralhida	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Atrazina (triazina)
Atranex 500 SC	Adama Brasil S.A. - Londrina	Atrazina (triazina)
Atranex WG	Adama Brasil S.A. - Londrina	Atrazina (triazina)
Atrasimex 500 SC	Adama Brasil S.A. - Londrina	Atrazina (triazina) + simazina (triazina)
Atrasimex WG	Adama Brasil S.A. - Londrina	Atrazina (triazina) + simazina (triazina)
Atrazina + Nicosulfuron Nortox WG	Nortox S.A. - Arapongas	Atrazina (triazina) + nicossulfurom (sulfoniluréia)
Atrazina 500 SC Alamos	Alamos do Brasil Ltda.	Atrazina (triazina)
Atrazina 500 SC Rainbow	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	Atrazina (triazina)
Atrazina Agro Import	Agro Import do Brasil Ltda.	Atrazina (triazina)
Atrazina CCAB 500 SC	CCAB Agro S.A. – São Paulo	Atrazina (triazina)
Atrazina Fersol 500 SC	Ameribrás Indústria e Comércio Ltda.	Atrazina (triazina)
Atrazina Max Nortox	Nortox S.A. - Arapongas	Atrazina (triazina)
Atrazina Nortox 500 SC	Nortox S.A. - Arapongas	Atrazina (triazina)
Atrazina SD 500 SC	Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA	Atrazina (triazina)
Atulamina 806 SL	AllierBrasil Agro Ltda.	2,4-D (ácido ariloxialcanóico)
AUG 103	Avgust Crop Protection Importação e Exportação Ltda.	clorimurom-etílico (sulfoniluréia) + imazetapir (imidazolinona)
AUG 122	Avgust Crop Protection Importação e Exportação Ltda.	nicossulfurom (sulfoniluréia)
AUG 126	Avgust Crop Protection Importação e Exportação Ltda.	quizalofope-P-etílico (ácido ariloxifenoxipropiônico)
Aura	Basf S.A. – São Paulo	profoxidim (oxima ciclohexanodiona)
Aura 200	Basf S.A. – São Paulo	profoxidim (oxima ciclohexanodiona)
Aurora	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etílica (triazolona)
Aurora 400 EC	FMC Química do Brasil Ltda. - Campinas	carfentrazona-etílica (triazolona)
Aval	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	tebutiurom (uréia)
Aval 800	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	tebutiurom (uréia)
Avguron Extra SC	Avgust Crop Protection Importação e Exportação Ltda.	diurom (uréia) + tidiazurom (uréia)
Baguera	Tradecorp do Brasil Comércio de insumos Agrícolas Ltda	hexazinona (triazinona)
Bakti-Pro 806 SL	AllierBrasil Agro Ltda.	2,4-D amina (ácido ariloxialcanóico)
Balance Prime	Bayer S.A. - São Paulo/ SP	isoxaflutol (isoxazol)
Baris	Lemma Agronegócios Importação e Exportação Ltda.	glifosato (glicina substituída)
Basagran 480	Basf S.A. – São Paulo	bentazona (benzotiadiazinona)
Basagran 600	Basf S.A. – São Paulo	bentazona (benzotiadiazinona)
Basamid	Mitsui & Co (Brasil) S.A.	dazomete (isotiocianato de metila (precursor de))
Batalha 240 SL	BRA Defensivos Agrícolas Ltda. (Piracicaba)	picloram (ácido piridinocarboxílico)
Bellum 480 SC	Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda.	Mesotriona (Tricetona)
Bench	Oxon Brasil Defensivos Agrícolas Ltda.	Atrazina (triazina) + simazina (triazina)
Bimate SA	Proventis Lifescience Defensivos Agrícolas Ltda	diurom (uréia) + tebutiurom (uréia)
Blast	Oxon Brasil Defensivos Agrícolas Ltda.	Atrazina (triazina)
Blazer Sol	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	Acifluorfem-sódico (éter difenílico)
Bleran	Syngenta Proteção de Cultivos Ltda. – São Paulo	Dibrometo de diquate (bipiridílio)
Boral 500 SC	FMC Química do Brasil Ltda. - Campinas	sulfentrazona (triazolona)
Boral Full	FMC Química do Brasil Ltda. - Campinas	sulfentrazona (triazolona) + tebutiurom (uréia)
Braddock	Solus Industria Quimica Ltda.	Glifosato Sal de Dimetilamina (glicina substituída)
Brion	CHDS do Brasil Comércio de Insumos Agrícolas Ltda	2,4-D (ácido ariloxialcanóico)
Broker 750 WG	Albaugh Agro Brasil Ltda.- São Paulo	hexazinona (triazinona)
Bromex	Bequisa Indústria Química do Brasil Ltda.	brometo de metila (alifático halogenado)
Browser	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	picloram (ácido piridinocarboxílico)
Bunema 330 CS	Taminco do Brasil Produtos Químicos Ltda	Metam-sódico (isotiocianato de metila (precursor de))
Butiron	Adama Brasil S.A. - Londrina	tebutiurom (uréia)
Calaris	Syngenta Proteção de Cultivos Ltda. – São Paulo	Atrazina (triazina) + Mesotriona (Tricetona)
Calipen SC	Syngenta Proteção de Cultivos Ltda. – São Paulo	Atrazina (triazina) + Mesotriona (Tricetona)
Callisto	Syngenta Proteção de Cultivos Ltda. – São Paulo	Mesotriona (Tricetona)
Camp-D	Prentiss Química Ltda. - Campo Largo/PR	picloram (ácido piridinocarboxílico) + 2,4-D-trietanolamina (ácido ariloxialcanóico)
Campeon	Stockton Agrimor do Brasil Ltda.	2,4-D-dimetilamina (ácido ariloxialcanóico)
Campestre 240 SL	BRA Defensivos Agrícolas Ltda. (Piracicaba)	picloram (ácido piridinocarboxílico)
Canastra	Nortox S.A. - Arapongas	trifluralina (dinitroanilina)
Canion	Adama Brasil S.A. - Londrina	hexazinona (triazinona)
Capote	Tradecorp do Brasil Comércio de insumos Agrícolas Ltda	tebutiurom (uréia)
Capri	Adama Brasil S.A. - Londrina	2,4-D (ácido ariloxialcanóico)
Cardeal	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	fomesafem (éter difenílico)
Cartago	ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba	cletodim (oxima ciclohexanodiona)
Castle	Adama Brasil S.A. - Londrina	diurom (uréia) + MSMA (organoarsênico)
Celebrate	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona) + quizalofope-P-etílico (ácido ariloxifenoxipropiônico)
Cenit Gat	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Census - GAT	FMC Química do Brasil Ltda. - Campinas	clomazona (isoxazolidinona)
Centurion	UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava	cletodim (oxima ciclohexanodiona)
Chaparral	Dow Agrosciences Industrial Ltda. - São Paulo	Aminopiralide (ácido piridiniloxialcanóico) + metsulfurom-metílico (sulfoniluréia)
Chopper Florestal	Basf S.A. – São Paulo	imazapir (imidazolinona)
Classic	Du Pont do Brasil S.A. - Barueri (Alphaville)	clorimurom-etílico (sulfoniluréia)
Clean Spray	Rainbow Defensivos Agrícolas Ltda.- Porto Alegre	2,4-D amina (ácido ariloxialcanóico)
