codigo	MdA	grupo_quimico	ingrediente_ativo
A	Inibição da síntese lipídica (inibidores da ACCase)	Ariloxifenoxipropionatos (FOPs)	Fenoxaprope-P-etílico
A	Inibição da síntese lipídica (inibidores da ACCase)	Ariloxifenoxipropionatos (FOPs)	Fluasifope-P-butílico
A	Inibição da síntese lipídica (inibidores da ACCase)	Ariloxifenoxipropionatos (FOPs)	Haloxifope-P-metílico
A	Inibição da síntese lipídica (inibidores da ACCase)	Fenilpirazolinas (DENs)	Pinoxaden
A	Inibição da síntese lipídica (inibidores da ACCase)	Ciclohexanodionas (DIMs)	Profoxidim
A	Inibição da síntese lipídica (inibidores da ACCase)	Ariloxifenoxipropionatos (FOPs)	Propaquizafope
A	Inibição da síntese lipídica (inibidores da ACCase)	Ariloxifenoxipropionatos (FOPs)	Quizalofope-P-etílico
A	Inibição da síntese lipídica (inibidores da ACCase)	Ciclohexanodionas (DIMs)	Setoxidim
A	Inibição da síntese lipídica (inibidores da ACCase)	Ciclohexanodionas (DIMs)	Tepraloxidim
A	Inibição da síntese lipídica (inibidores da ACCase)	Ciclohexanodionas (DIMs)	Tralcoxidime
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Amidosulfuron
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Azinsulfurom
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Bensulfuron-metílico
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Pirimidinil (tio) benzoatos	Bispiribaque-sódico
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Ciclossulfamurom
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Cinosulfuron
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Triazolopirimidinas	Cloransulam-metílico
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Clorimurom-etílico
B	Inibidores da acetolactato sintase (ALS) (síntese de aminoácido de cadeia ramificada)	Sulfonilureias	Clorosulfuron
