produto_comercial,empresa,numero,ing_ativo
Accurate,FMC Química do Brasil Ltda. - Campinas,5208,metsulfurom-metílico (sulfoniluréia)
Ally,FMC Química do Brasil Ltda. - Campinas,2492,metsulfurom-metílico (sulfoniluréia)
Aminol 806,Adama Brasil S.A. - Londrina,195,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Arena,Stockton Agrimor do Brasil Ltda.,16407,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Arreio,Adama Brasil S.A. - Londrina,5515,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Arreio Pasto,Adama Brasil S.A. - Londrina,3815,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Artys,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,13408,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Artys BR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,13308,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Astral,Prentiss Química Ltda. - Campo Largo/PR,4016,glifosato (glicina substituída)
Atulamina 806 SL,AllierBrasil Agro Ltda.,21216,"2,4-D (ácido ariloxialcanóico)"
Bakti-Pro 806 SL,AllierBrasil Agro Ltda.,315,"2,4-D amina (ácido ariloxialcanóico)"
Batalha 240 SL,BRA Defensivos Agrícolas Ltda. (Piracicaba),22518,picloram (ácido piridinocarboxílico)
Braddock,Solus Industria Quimica Ltda. - Jandaia do Sul,17017,Glifosato Sal de Dimetilamina (glicina substituída)
Brion,CHDS do Brasil Comércio de Insumos Agrícolas Ltda,11708,"2,4-D (ácido ariloxialcanóico)"
Browser,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,5908,picloram (ácido piridinocarboxílico)
Camp-D,Prentiss Química Ltda. - Campo Largo/PR,10511,"2,4-D-trietanolamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Campeon,Stockton Agrimor do Brasil Ltda.,16607,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Campestre 240 SL,BRA Defensivos Agrícolas Ltda. (Piracicaba),14818,picloram (ácido piridinocarboxílico)
Chaparral,Dow Agrosciences Industrial Ltda. - São Paulo,2220,Aminopiralide (ácido piridiniloxialcanóico) + metsulfurom-metílico (sulfoniluréia)
Clean Spray,Rainbow Defensivos Agrícolas Ltda.- Porto Alegre,7818,"2,4-D amina (ácido ariloxialcanóico)"
Cortador 806 SL,AllierBrasil Agro Ltda.,16817,"2,4-D (ácido ariloxialcanóico)"
Crater,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,13108,"2,4-D (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
Credit,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,16712,glifosato (glicina substituída)
Credit 480,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,9617,glifosato (glicina substituída)
Crescendo,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,2009,Triclopir-butotílico (ácido piridiniloxialcanóico)
Creta,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,12618,Fluroxipir-meptílico (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico)
Crucial,Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE,8912,glifosato-sal de isopropilamina (glicina substituída) + glifosato-sal de potássio (glicina substituída)
Danado,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,13611,picloram (ácido piridinocarboxílico)
Decorum,Rainbow Defensivos Agrícolas Ltda.- Porto Alegre,115,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Dez,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,5009,"2,4-D (ácido ariloxialcanóico)"
Dinaxine,Rainbow Defensivos Agrícolas Ltda.- Porto Alegre,215,"2,4-D amina (ácido ariloxialcanóico)"
Direct,Monsanto do Brasil Ltda - São Paulo,6199,glifosato-sal de amônio (glicina substituída)
Disparo,Dow Agrosciences Industrial Ltda. - São Paulo,2310,"2,4-D-dimetilamina (ácido ariloxialcanóico) + picloram (ácido piridinocarboxílico)"
DisparoUltra-S,Dow Agrosciences Industrial Ltda. - São Paulo,4720,"2,4-D-dimetilamina (ácido ariloxialcanóico) + Aminopiralide (ácido piridiniloxialcanóico)"
DMA 806 BR,Dow Agrosciences Industrial Ltda. - São Paulo,2108604,"2,4-D-dimetilamina (ácido ariloxialcanóico)"
Dominum,Dow Agrosciences Industrial Ltda. - São Paulo,7206,Aminopiralide (ácido piridiniloxialcanóico) + Fluroxipir-meptílico (ácido piridiniloxialcanóico)
Dominum XT,Dow Agrosciences Industrial Ltda. - São Paulo,11218,Aminopiralide (ácido piridiniloxialcanóico) + picloram (ácido piridinocarboxílico) + Triclopir-butotílico (ácido piridiniloxialcanóico)
